PROJECTION,COUNTERPARTY,INSTRUMENT,contingent_cva,contingent_dva,cva,dva,funding_benefit,funding_cost,risky_funding_benefit,risky_funding_cost
1,0IHNAKD,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,0IHNAKD,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,0IHNAKD,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,0IHNAKD,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,0IHNAKD,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,1EBKVIE,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,1EBKVIE,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,1EBKVIE,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,1EBKVIE,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,1EBKVIE,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,280110269,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,280110269,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,280110269,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,280110269,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,280110269,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,281210078,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,281210078,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,281210078,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,281210078,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,281210078,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,282950247,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,282950247,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,282950247,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,282950247,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,282950247,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,284180084,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,284180084,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,284180084,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,284180084,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,284180084,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,288080061,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,288080061,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,288080061,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,288080061,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,288080061,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,2SGIPAR,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,2SGIPAR,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,2SGIPAR,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,2SGIPAR,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,2SGIPAR,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,3AFTOKM,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,3AFTOKM,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,3AFTOKM,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,3AFTOKM,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,3AFTOKM,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,4AISPAR,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,4AISPAR,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,4AISPAR,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,4AISPAR,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,4AISPAR,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,4CETSTO,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,4CETSTO,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,4CETSTO,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,4CETSTO,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,4CETSTO,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,4NIEBLF,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,4NIEBLF,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,4NIEBLF,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,4NIEBLF,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,4NIEBLF,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,4SCKWLT,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,4SCKWLT,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,4SCKWLT,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,4SCKWLT,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,4SCKWLT,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,4SDFFQR,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,4SDFFQR,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,4SDFFQR,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,4SDFFQR,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,4SDFFQR,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,5S1KMUC,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,5S1KMUC,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,5S1KMUC,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,5S1KMUC,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,5S1KMUC,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,684HBBA,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,684HBBA,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,684HBBA,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,684HBBA,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,684HBBA,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,6A0OAOQ,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,6A0OAOQ,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,6A0OAOQ,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,6A0OAOQ,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,6A0OAOQ,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,6EGOHAY,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,6EGOHAY,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,6EGOHAY,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,6EGOHAY,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,6EGOHAY,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,6IDDNCK,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,6IDDNCK,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,6IDDNCK,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,6IDDNCK,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,6IDDNCK,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,6WKABUH,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,6WKABUH,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,6WKABUH,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,6WKABUH,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,6WKABUH,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,7ASWJ5D,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,7ASWJ5D,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,7ASWJ5D,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,7ASWJ5D,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,7ASWJ5D,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,7SFNOPO,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,7SFNOPO,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,7SFNOPO,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,7SFNOPO,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,7SFNOPO,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,8OMASAN,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,8OMASAN,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,8OMASAN,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,8OMASAN,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,8OMASAN,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,8SYNWLT,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,8SYNWLT,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,8SYNWLT,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,8SYNWLT,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,8SYNWLT,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,9BHCDJE,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,9BHCDJE,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,9BHCDJE,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,9BHCDJE,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,9BHCDJE,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,9GR8MEX,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,9GR8MEX,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,9GR8MEX,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,9GR8MEX,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,9GR8MEX,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,9HE7AMS,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,9HE7AMS,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,9HE7AMS,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,9HE7AMS,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,9HE7AMS,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,9PERPAR,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,9PERPAR,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,9PERPAR,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,9PERPAR,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,9PERPAR,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,9TSIROM,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,9TSIROM,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,9TSIROM,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,9TSIROM,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,9TSIROM,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,9UI0PAR,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,9UI0PAR,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,9UI0PAR,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,9UI0PAR,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,9UI0PAR,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A01003946,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A01003946,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A01003946,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A01003946,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A01003946,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A01288836,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A01288836,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A01288836,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A01288836,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A01288836,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A01470343,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A01470343,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A01470343,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A01470343,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A01470343,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A02744209,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A02744209,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A02744209,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A02744209,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A02744209,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A07295462,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A07295462,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A07295462,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A07295462,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A07295462,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A08267403,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A08267403,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A08267403,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A08267403,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A08267403,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A17927484,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A17927484,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A17927484,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A17927484,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A17927484,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A24031890,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A24031890,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A24031890,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A24031890,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A24031890,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A28003119,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A28003119,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A28003119,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A28003119,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A28003119,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A28017895,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A28017895,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A28017895,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A28017895,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A28017895,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A28039790,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A28039790,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A28039790,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A28039790,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A28039790,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A28212264,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A28212264,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A28212264,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A28212264,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A28212264,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A28250777,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A28250777,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A28250777,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A28250777,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A28250777,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A28323368,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A28323368,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A28323368,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A28323368,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A28323368,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A28580520,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A28580520,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A28580520,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A28580520,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A28580520,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A31038839,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A31038839,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A31038839,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A31038839,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A31038839,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A32418667,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A32418667,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A32418667,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A32418667,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A32418667,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A35032200,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A35032200,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A35032200,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A35032200,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A35032200,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A35062116,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A35062116,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A35062116,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A35062116,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A35062116,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A45290236,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A45290236,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A45290236,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A45290236,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A45290236,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A50736784,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A50736784,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A50736784,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A50736784,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A50736784,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A78003662,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A78003662,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A78003662,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A78003662,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A78003662,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A78839271,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A78839271,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A78839271,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A78839271,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A78839271,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A80482334,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
1,A80482334,INFL_ZC_SP_20Y,0,0,0,0,0,0,0,0
1,A80482334,INFL_ZC_SP_2Y,0,0,0,0,0,0,0,0
1,A80482334,INFL_ZC_SP_30Y,0,0,0,0,0,0,0,0
1,A80482334,INFL_ZC_SP_5Y,0,0,0,0,0,0,0,0
1,A81939209,INFL_ZC_SP_10Y,0,0,0,0,0,0,0,0
